8	16
1	24
8	41
1	49
8	66
1	74
15	83
15	98
15	113
8	40
1	48
33	209
33	210
15	83
15	98
33	241
33	138
8	9
1	17
8	34
1	42
8	59
34	197
15	77
15	92
1	23
8	40
1	48
8	65
1	73
16	106
16	122
34	230
34	256
8	32
1	40
8	57
34	239
35	241
35	244
16	73
16	89
1	24
8	41
1	49
16	82
16	98
1	32
1	57
1	82
35	286
9	126
16	135
9	143
16	152
9	160
16	169
9	177
35	284
36	287
1	24
1	49
1	74
2	99
16	141
9	149
16	158
9	166
16	175
9	183
36	377
36	381
36	385
37	268
37	273
37	278
38	283
2	32
2	58
2	84
2	110
16	112
9	120
16	129
9	137
16	146
9	154
16	163
9	171
38	220
38	226
38	232
2	24
16	50
9	58
2	32
2	58
17	151
9	101
9	118
9	135
39	203
17	159
17	168
39	228
2	23
2	49
2	75
2	101
39	288
39	295
9	149
9	166
10	183
17	209
17	218
17	227
17	236
40	269
40	277
40	285
40	293
2	16
2	42
2	68
2	94
10	104
10	122
10	140
10	158
17	176
17	185
17	194
41	267
41	268
41	269
41	270
2	18
3	44
10	71
10	89
17	107
17	116
17	125
3	25
3	52
10	95
10	113
10	131
42	258
17	151
17	160
42	278
3	16
3	43
3	70
10	121
10	139
42	320
42	322
17	169
17	178
18	187
3	32
3	59
3	86
3	113
10	148
10	166
10	184
10	202
43	401
43	404
43	407
18	229
18	239
18	249
43	323
44	326
44	330
44	334
3	16
3	43
3	70
10	81
10	99
11	117
18	120
18	130
18	140
3	40
3	67
44	228
11	98
11	117
45	270
18	133
18	143
3	42
3	69
11	112
11	131
45	285
18	163
18	173
45	318
4	40
4	68
4	96
45	336
46	341
11	151
11	170
11	189
11	208
46	415
18	217
18	227
18	237
18	247
4	24
4	52
4	80
4	108
11	160
11	179
11	198
46	458
47	464
47	471
18	237
18	247
19	257
47	332
47	339
48	346
48	354
4	24
4	52
4	80
11	100
11	119
11	138
19	149
19	160
19	171
4	40
4	68
4	96
11	156
11	175
12	194
12	214
48	400
48	408
19	242
19	253
19	264
19	275
49	460
4	24
4	52
12	104
19	148
49	438
49	439
49	440
4	33
4	61
5	89
12	142
12	162
12	182
12	202
19	222
19	233
19	244
19	255
50	419
50	421
5	24
5	53
12	98
19	134
50	399
50	401
51	403
5	37
12	66
19	86
51	228
5	38
5	67
12	96
12	116
19	136
19	147
51	252
5	43
12	104
12	124
20	152
20	164
51	326
52	329
5	16
12	77
52	272
20	101
52	288
5	16
5	45
5	74
12	111
12	131
21	159
21	172
52	286
5	40
5	69
12	130
13	150
13	171
53	389
53	394
53	399
21	191
21	204
22	217
5	22
5	51
5	80
13	133
13	154
22	199
22	213
22	227
53	450
54	479
5	32
13	85
13	106
54	387
54	393
54	399
23	137
6	15
6	45
6	75
6	105
13	151
13	172
13	193
23	230
23	245
23	260
24	275
55	420
55	386
55	393
56	400
56	408
6	31
6	61
6	91
13	105
13	126
13	147
24	168
24	184
6	40
13	102
13	123
56	352
24	152
56	384
25	200
6	17
6	47
57	445
13	78
6	48
6	78
25	199
13	133
13	154
57	442
25	248
25	257
26	266
57	383
6	32
6	62
14	100
14	122
57	437
58	438
58	440
26	173
6	34
6	64
14	118
14	140
14	162
26	240
26	250
27	260
58	428
58	446
6	16
7	46
59	376
14	96
59	417
27	161
27	172
7	27
7	58
7	89
14	128
14	150
14	172
59	430
27	277
28	288
28	300
59	468
7	32
7	63
14	118
14	140
14	162
60	499
60	503
60	539
28	228
28	240
7	20
7	51
14	114
14	136
60	430
61	434
29	207
29	220
7	21
7	52
7	83
14	146
14	168
14	190
61	480
61	485
29	278
30	291
30	305
7	24
15	95
61	437
62	442
62	448
7	22
7	53
30	189
15	98
30	161
7	40
7	71
7	102
62	413
15	155
15	178
15	201
62	471
63	477
31	309
31	324
31	339
31	354
8	32
8	64
8	96
15	144
15	167
15	190
63	598
63	653
63	660
32	306
32	322
32	338
8	32
8	64
15	96
15	119
64	512
64	520
64	528
32	198
65	238
