15	0
1	15
15	16
1	31
15	32
1	47
8	48
8	56
8	64
33	72
33	105
15	74
1	89
15	90
1	105
33	170
8	139
8	147
33	155
34	188
15	67
1	82
15	83
1	98
16	99
1	115
8	116
8	124
8	132
34	140
34	174
34	208
16	102
1	118
16	119
1	135
16	136
1	152
8	153
8	161
8	169
35	177
35	212
35	247
16	105
1	121
16	17
1	33
16	34
1	50
35	156
8	191
9	94
9	103
36	112
36	148
16	0
1	16
16	17
1	33
16	34
1	50
16	51
9	67
9	76
9	85
9	94
36	287
36	139
37	175
1	73
16	74
2	90
37	231
9	129
16	9
2	25
16	27
9	43
37	181
9	89
2	46
16	48
2	64
16	66
2	82
16	84
2	100
38	154
38	192
9	178
9	187
9	196
38	205
38	243
17	85
2	102
17	104
2	121
17	123
2	140
17	142
39	355
9	198
9	207
9	216
39	225
39	264
9	78
2	87
17	89
2	106
17	108
2	125
17	127
10	144
39	379
9	193
10	202
40	212
40	477
40	292
2	120
17	122
2	139
40	353
41	181
17	83
2	100
17	102
2	119
17	121
10	138
10	287
10	158
10	168
41	178
2	51
17	53
3	70
41	241
41	282
10	155
42	165
17	42
3	59
17	62
3	79
17	82
3	99
17	102
10	119
10	129
10	139
10	149
42	159
42	201
42	243
3	84
17	87
3	104
43	107
43	351
10	193
10	96
3	106
18	109
3	127
18	130
3	148
18	151
10	169
10	179
43	296
43	232
44	275
18	87
3	105
44	108
18	47
3	65
18	68
3	86
18	89
10	212
10	117
10	127
11	137
44	253
3	55
18	58
3	76
18	79
11	97
44	245
11	152
45	163
45	345
3	0
18	3
3	21
18	24
45	295
11	87
11	56
3	67
18	70
45	130
11	63
4	74
18	78
4	96
46	170
46	258
11	192
18	57
4	75
18	79
46	243
11	143
11	57
4	68
18	72
4	90
18	94
4	112
47	359
47	260
11	210
11	221
47	232
11	58
4	69
19	73
4	92
19	96
47	336
19	162
11	181
48	192
11	59
4	70
19	74
4	93
19	97
4	116
19	120
4	139
48	324
48	593
11	239
11	250
11	261
48	272
49	320
49	369
19	98
4	117
19	121
4	140
19	144
12	163
12	175
12	187
49	199
4	61
19	65
4	84
19	88
49	294
50	343
12	206
12	62
4	74
19	78
5	97
19	102
5	121
19	126
5	145
50	306
50	356
12	250
12	262
12	274
50	286
51	336
19	101
5	120
19	125
5	144
51	435
12	200
12	212
19	24
5	43
51	534
51	299
12	150
20	63
5	83
20	88
5	108
20	113
52	232
12	185
12	197
52	209
52	360
12	104
5	116
21	121
5	142
21	147
52	377
12	220
12	64
5	76
21	81
5	102
21	107
13	128
53	309
53	362
12	247
5	65
22	70
5	92
22	97
5	119
22	124
5	146
22	151
53	367
53	420
13	279
13	292
13	305
54	318
54	372
54	426
13	162
5	175
23	180
13	23
6	36
23	42
6	65
23	71
13	94
54	605
13	161
55	174
55	409
6	55
23	61
6	84
24	90
6	114
24	120
55	373
13	199
13	212
56	225
13	69
6	82
24	88
6	112
24	118
6	142
25	148
56	385
56	441
13	285
13	298
56	311
13	56
6	69
25	75
13	100
57	424
57	481
6	127
25	133
6	158
25	164
57	289
13	246
57	259
13	0
6	13
26	19
6	45
58	51
58	425
14	167
14	130
6	144
26	150
6	176
26	182
6	208
27	214
14	241
26	255
14	281
14	295
58	360
58	367
59	425
6	59
27	65
14	92
7	41
27	48
7	75
27	82
7	109
28	116
7	144
59	216
59	700
14	269
14	283
14	297
59	311
60	370
60	430
28	179
7	207
28	214
7	242
28	249
7	277
29	284
14	313
14	327
14	341
60	355
60	415
14	120
7	134
29	141
61	525
14	90
7	104
29	111
7	140
30	147
7	177
30	184
7	214
61	362
61	778
14	343
14	357
14	371
61	385
62	446
62	508
30	124
7	154
30	161
15	191
15	15
7	30
31	37
7	68
62	266
62	328
15	199
31	15
7	46
31	53
7	84
63	91
63	353
15	217
15	232
31	15
8	46
32	54
8	86
32	94
8	126
63	366
15	197
15	212
15	227
63	673
64	305
64	369
32	191
8	223
32	231
15	263
15	278
8	15
64	301
