Size	Wait in Queue	Total Wait	TurnAround
18	    237		   3722		   255

18	    247		   3732		   265

4	    24		   3758		   28

4	    52		   3786		   56

4	    80		   3814		   84

4	    108		   3842		   112

11	    160		   3894		   171

11	    179		   3913		   190

11	    198		   3932		   209

46	    458		   3943		   504

47	    464		   3949		   511

47	    471		   3956		   518

18	    237		   3971		   255

18	    247		   3981		   265

19	    257		   3991		   276

47	    332		   4066		   379

47	    339		   4073		   386

48	    346		   4080		   394

48	    354		   4088		   402

4	    24		   4112		   28

4	    52		   4140		   56

4	    80		   4168		   84

11	    100		   4188		   111

11	    119		   4207		   130

11	    138		   4226		   149

19	    149		   4237		   168

19	    160		   4248		   179

19	    171		   4259		   190

4	    40		   4310		   44

4	    68		   4338		   72

4	    96		   4366		   100

11	    156		   4426		   167

11	    175		   4445		   186

12	    194		   4464		   206

12	    214		   4484		   226

48	    400		   4488		   448

48	    408		   4496		   456

19	    242		   4512		   261

19	    253		   4523		   272

19	    264		   4534		   283

19	    275		   4545		   294

49	    460		   4548		   509

4	    24		   4573		   28

4	    52		   4601		   56

12	    104		   4653		   116

19	    148		   4697		   167

49	    438		   4708		   487

49	    439		   4709		   488

49	    440		   4710		   489

4	    33		   4743		   37

4	    61		   4771		   65

5	    89		   4799		   94

12	    142		   4852		   154

12	    162		   4872		   174

12	    182		   4892		   194

12	    202		   4912		   214

19	    222		   4932		   241

19	    233		   4943		   252

19	    244		   4954		   263

19	    255		   4965		   274

50	    419		   4968		   469

50	    421		   4970		   471

5	    24		   4996		   29

5	    53		   5025		   58

12	    98		   5070		   110

19	    134		   5106		   153

50	    399		   5109		   449

50	    401		   5111		   451

51	    403		   5113		   454

5	    37		   5148		   42

12	    66		   5177		   78

19	    86		   5197		   105

51	    228		   5200		   279

5	    38		   5227		   43

5	    67		   5256		   72

12	    96		   5285		   108

12	    116		   5305		   128

19	    136		   5325		   155

19	    147		   5336		   166

51	    252		   5363		   303

5	    43		   5390		   48

12	    104		   5451		   116

12	    124		   5471		   136

20	    152		   5499		   172

20	    164		   5511		   184

51	    326		   5515		   377

52	    329		   5518		   381

5	    16		   5546		   21

12	    77		   5607		   89

52	    272		   5619		   324

20	    101		   5631		   121

52	    288		   5635		   340

5	    16		   5647		   21

5	    45		   5676		   50

5	    74		   5705		   79

12	    111		   5742		   123

12	    131		   5762		   143

21	    159		   5790		   180

21	    172		   5803		   193

52	    286		   5816		   338

5	    40		   5884		   45

5	    69		   5913		   74

12	    130		   5974		   142

13	    150		   5994		   163

13	    171		   6015		   184

53	    389		   6020		   442

53	    394		   6025		   447

53	    399		   6030		   452

21	    191		   6035		   212

21	    204		   6048		   225

22	    217		   6061		   239

5	    22		   6075		   27

5	    51		   6104		   56

5	    80		   6133		   85

13	    133		   6186		   146

13	    154		   6207		   167
